Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
6/20/2012,0.048,0.063333333,0.124,0.066666667,0.999333333,0.890666667,0.997333333,0.922666667,0.51,0.058666667,0.996666667,0.032,0.945333333,0.283333333,0.870666667,0.141333333,0.132,0.084,0.992666667,0.999333333,0.999333333,0.904,0.994666667,0.174,0.304666667,0.064666667,0.010666667,0.878666667,0.989333333,1,0.988,1,0.424666667,0.008666667,0.788,0,0.920666667,0.971333333,0.962,0.231333333,0.233333333,0.060666667,0,0.02,0.989333333,0.874666667,0.994666667,0.168,0.94,0.006666667
6/23/2012,0.06,0.056,0.186,0.077333333,1,0.822666667,0.995333333,0.925333333,0.657333333,0.037333333,0.998,0.026,0.935333333,0.228666667,0.794,0.121333333,0.118,0.097333333,0.989333333,0.998666667,0.998666667,0.850666667,0.990666667,0.172666667,0.344666667,0.106666667,0.01,0.868,0.962666667,0.997333333,0.989333333,1,0.406,0.026,0.731333333,0,0.9,0.950666667,0.965333333,0.238,0.24,0.088666667,0.002,0.02,0.995333333,0.833333333,0.989333333,0.160666667,0.882666667,0.014
6/26/2012,0.068666667,0.056,0.233333333,0.080666667,0.998666667,0.878666667,0.992,0.935333333,0.7,0.052,1,0.038666667,0.923333333,0.236,0.798666667,0.132,0.124666667,0.088,0.988666667,1,0.999333333,0.855333333,0.987333333,0.154666667,0.338666667,0.091333333,0.018,0.882,0.948666667,0.996666667,0.990666667,1,0.448,0.026,0.772666667,0,0.941333333,0.956666667,0.95,0.241333333,0.24,0.092,0.005333333,0,0.990666667,0.696,0.99,0.148666667,0.902666667,0.007333333
6/27/2012,0.070666667,0.056,0.132,0.082,1,0.848666667,0.988666667,0.942,0.755333333,0.045333333,0.998666667,0.034,0.941333333,0.31,0.794,0.139333333,0.120666667,0.083333333,0.99,1,0.999333333,0.83,0.988,0.16,0.384,0.158,0.031333333,0.856666667,0.936,0.998666667,0.986666667,1,0.453333333,0.023333333,0.886,0,0.943333333,0.948666667,0.958,0.232,0.229333333,0.08,0.006,0,0.992,0.742,0.987333333,0.134666667,0.883333333,0.012
6/29/2012,0.067333333,0.052,0.150666667,0.077333333,1,0.808666667,0.99,0.938,0.691333333,0.056666667,0.999333333,0.034666667,0.94,0.249333333,0.733333333,0.138,0.106666667,0.082666667,0.978,0.998666667,0.994,0.830666667,0.981333333,0.151333333,0.356,0.147333333,0.033333333,0.814,0.832666667,0.995333333,0.976666667,1,0.510666667,0.039333333,0.860666667,0,0.927333333,0.934,0.949333333,0.233333333,0.252,0.110666667,0.010666667,0,0.991333333,0.650666667,0.986666667,0.177333333,0.861333333,0.008666667
7/7/2012,0.063333333,0.047333333,0.134666667,0.071333333,0.998,0.882666667,0.993333333,0.923333333,0.784,0.052666667,0.998666667,0.032,0.944666667,0.257333333,0.808,0.145333333,0.118,0.082,0.985333333,1,0.999333333,0.886,0.992666667,0.175333333,0.406666667,0.109333333,0.02,0.84,0.9,0.998666667,0.992,1,0.5,0.033333333,0.887333333,0,0.943333333,0.956,0.955333333,0.222,0.243333333,0.112666667,0.007333333,0,0.990666667,0.756,0.997333333,0.158,0.898666667,0.008
7/10/2012,0.001333333,0.069333333,0.060666667,0.075333333,1,0.840666667,0.997333333,0.932666667,0.614666667,0.033333333,0.997333333,0.033333333,0.936666667,0.205333333,0.795333333,0.130666667,0.133333333,0.081333333,0.992,1,0.998666667,0.855333333,0.999333333,0.152666667,0.226666667,0.093333333,0.016,0.871333333,0.914,1,0.994,1,0.422,0.01,0.892666667,0,0.942666667,0.945333333,0.952,0.223333333,0.265333333,0.048666667,0,0,0.986,0.829333333,0.996666667,0.156,0.873333333,0.013333333
7/12/2012,0.003333333,0.059333333,0.092666667,0.086666667,0.998666667,0.846,0.990666667,0.936666667,0.635333333,0.039333333,0.998666667,0.024666667,0.934,0.152666667,0.774,0.133333333,0.106,0.095333333,0.995333333,1,1,0.832,0.992,0.160666667,0.292666667,0.079333333,0.011333333,0.828666667,0.873333333,0.999333333,0.990666667,1,0.443333333,0.02,0.889333333,0,0.942,0.957333333,0.955333333,0.233333333,0.266666667,0.075333333,0.002666667,0,0.992666667,0.797333333,0.992,0.171333333,0.93,0.01
7/16/2012,0.000666667,0.060666667,0.059333333,0.078,0.999333333,0.883333333,0.999333333,0.933333333,0.706666667,0.020666667,0.999333333,0.026666667,0.932666667,0.182666667,0.834,0.133333333,0.116,0.093333333,0.999333333,1,1,0.881333333,0.992,0.147333333,0.291333333,0.078666667,0.012666667,0.780666667,0.906666667,0.999333333,0.997333333,1,0.359333333,0.005333333,0.917333333,0,0.963333333,0.975333333,0.961333333,0.262,0.235333333,0.036666667,0.000666667,0,0.991333333,0.856,0.996,0.168,0.952,0.011333333
7/21/2012,0,0.057333333,0.037333333,0.078,1,0.857333333,0.997333333,0.928,0.71,0.012,0.998666667,0.024666667,0.918666667,0.120666667,0.841333333,0.119333333,0.114,0.098,0.996,1,1,0.849333333,0.998,0.155333333,0.238666667,0.038,0.004,0.927333333,0.932666667,0.999333333,0.989333333,1,0.346,0.003333333,0.892,0,0.937333333,0.970666667,0.954,0.235333333,0.231333333,0.034666667,0,0,0.991333333,0.794,0.998,0.186,0.948666667,0.010666667
