# ----------------------------------------
# www.gwern.net
# Pages
# 20120210-20120520
# ----------------------------------------

# Page,Source,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
# /DNB FAQ,en.wikipedia.org,161,155,00:11:32,95.42%,95.03%
# ,,161,155,00:11:32,95.42%,95.03%

Day,Pageviews
2/10/12,7
2/11/12,5
2/12/12,3
2/13/12,5
2/14/12,2
2/15/12,2
2/16/12,3
2/17/12,2
2/18/12,1
2/19/12,2
2/20/12,2
2/21/12,2
2/22/12,0
2/23/12,1
2/24/12,1
2/25/12,3
2/26/12,1
2/27/12,2
2/28/12,3
2/29/12,2
3/1/12,1
3/2/12,5
3/3/12,1
3/4/12,0
3/5/12,1
3/6/12,2
3/7/12,1
3/8/12,0
3/9/12,3
3/10/12,2
3/11/12,0
3/12/12,2
3/13/12,1
3/14/12,0
3/15/12,1
3/16/12,1
3/17/12,4
3/18/12,2
3/19/12,1
3/20/12,1
3/21/12,1
3/22/12,0
3/23/12,1
3/24/12,0
3/25/12,1
3/26/12,4
3/27/12,0
3/28/12,1
3/29/12,1
3/30/12,0
3/31/12,0
4/1/12,0
4/2/12,0
4/3/12,2
4/4/12,0
4/5/12,0
4/6/12,2
4/7/12,1
4/8/12,0
4/9/12,0
4/10/12,0
4/11/12,1
4/12/12,1
4/13/12,0
4/14/12,1
4/15/12,0
4/16/12,1
4/17/12,1
4/18/12,2
4/19/12,1
4/20/12,2
4/21/12,1
4/22/12,1
4/23/12,3
4/24/12,2
4/25/12,4
4/26/12,1
4/27/12,3
4/28/12,2
4/29/12,3
4/30/12,3
5/1/12,2
5/2/12,2
5/3/12,1
5/4/12,1
5/5/12,1
5/6/12,1
5/7/12,1
5/8/12,1
5/9/12,3
5/10/12,2
5/11/12,4
5/12/12,1
5/13/12,2
5/14/12,4
5/15/12,2
5/16/12,2
5/17/12,2
5/18/12,2
5/19/12,1
5/20/12,1
# total: 161
