# ----------------------------------------
# www.gwern.net
# Pages
# 20110714-20120208
# ----------------------------------------
#
# Page,Source,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
# /DNB FAQ,en.wikipedia.org,"1,910","1,412",00:05:21,77.87%,70.47%
# ,,"1,910","1,412",00:05:21,77.87%,70.47%

Day,Pageviews
7/14/11,1
7/15/11,0
7/16/11,2
7/17/11,3
7/18/11,12
7/19/11,3
7/20/11,9
7/21/11,3
7/22/11,3
7/23/11,2
7/24/11,3
7/25/11,0
7/26/11,3
7/27/11,1
7/28/11,9
7/29/11,11
7/30/11,5
7/31/11,6
8/1/11,7
8/2/11,7
8/3/11,7
8/4/11,5
8/5/11,5
8/6/11,7
8/7/11,0
8/8/11,1
8/9/11,9
8/10/11,21
8/11/11,3
8/12/11,6
8/13/11,6
8/14/11,12
8/15/11,5
8/16/11,9
8/17/11,7
8/18/11,13
8/19/11,11
8/20/11,11
8/21/11,11
8/22/11,10
8/23/11,12
8/24/11,5
8/25/11,12
8/26/11,16
8/27/11,13
8/28/11,4
8/29/11,14
8/30/11,14
8/31/11,9
9/1/11,3
9/2/11,9
9/3/11,11
9/4/11,4
9/5/11,10
9/6/11,5
9/7/11,11
9/8/11,4
9/9/11,21
9/10/11,15
9/11/11,3
9/12/11,7
9/13/11,1
9/14/11,7
9/15/11,4
9/16/11,5
9/17/11,2
9/18/11,4
9/19/11,7
9/20/11,4
9/21/11,5
9/22/11,5
9/23/11,12
9/24/11,14
9/25/11,9
9/26/11,5
9/27/11,7
9/28/11,3
9/29/11,3
9/30/11,16
10/1/11,9
10/2/11,6
10/3/11,15
10/4/11,12
10/5/11,6
10/6/11,7
10/7/11,4
10/8/11,14
10/9/11,5
10/10/11,13
10/11/11,5
10/12/11,11
10/13/11,3
10/14/11,2
10/15/11,12
10/16/11,2
10/17/11,19
10/18/11,5
10/19/11,5
10/20/11,9
10/21/11,14
10/22/11,6
10/23/11,6
10/24/11,14
10/25/11,11
10/26/11,17
10/27/11,5
10/28/11,3
10/29/11,2
10/30/11,3
10/31/11,6
11/1/11,8
11/2/11,26
11/3/11,5
11/4/11,8
11/5/11,5
11/6/11,10
11/7/11,9
11/8/11,3
11/9/11,7
11/10/11,11
11/11/11,7
11/12/11,7
11/13/11,17
11/14/11,14
11/15/11,16
11/16/11,7
11/17/11,3
11/18/11,4
11/19/11,5
11/20/11,13
11/21/11,8
11/22/11,7
11/23/11,11
11/24/11,3
11/25/11,6
11/26/11,7
11/27/11,8
11/28/11,6
11/29/11,11
11/30/11,16
12/1/11,13
12/2/11,15
12/3/11,11
12/4/11,9
12/5/11,5
12/6/11,6
12/7/11,3
12/8/11,11
12/9/11,7
12/10/11,7
12/11/11,6
12/12/11,7
12/13/11,6
12/14/11,9
12/15/11,11
12/16/11,6
12/17/11,8
12/18/11,16
12/19/11,10
12/20/11,4
12/21/11,5
12/22/11,9
12/23/11,10
12/24/11,3
12/25/11,6
12/26/11,5
12/27/11,11
12/28/11,25
12/29/11,9
12/30/11,9
12/31/11,17
1/1/12,17
1/2/12,23
1/3/12,21
1/4/12,23
1/5/12,34
1/6/12,8
1/7/12,15
1/8/12,10
1/9/12,21
1/10/12,20
1/11/12,10
1/12/12,12
1/13/12,21
1/14/12,17
1/15/12,11
1/16/12,30
1/17/12,17
1/18/12,6
1/19/12,7
1/20/12,9
1/21/12,17
1/22/12,12
1/23/12,19
1/24/12,6
1/25/12,7
1/26/12,13
1/27/12,12
1/28/12,12
1/29/12,10
1/30/12,14
1/31/12,11
2/1/12,13
2/2/12,14
2/3/12,13
2/4/12,9
2/5/12,10
2/6/12,6
2/7/12,10
2/8/12,8
# total: 1,910
