"Product","Dead","Started","Ended","Hits","Type","Profit","FLOSS","Acquisition","Social","Days","AvgHits","DeflatedHits","AvgDeflatedHits"
"Lively",TRUE,2008-07-09,2008-12-31,76800,"program",FALSE,FALSE,FALSE,TRUE,175,43.7856328392246,1.55605982470364e-06,-0.282599700506519
"Aardvark",TRUE,2011-02-01,2012-02-01,2060000,"service",FALSE,FALSE,TRUE,TRUE,365,2521.41982864137,1.00446515602281e-05,-0.680592405158621
"One Pass",TRUE,2011-02-01,2012-04-01,738000,"service",TRUE,FALSE,FALSE,FALSE,425,903.304773561812,3.59852080167395e-06,-0.542965033517305
"+1 Reporting for Webmaster Tools",TRUE,2011-06-01,2012-09-01,7060,"service",FALSE,FALSE,FALSE,TRUE,458,10.12912482066,2.86846553146638e-08,-0.133323417021461
"News Badges",TRUE,2011-07-01,2012-10-01,25300,"service",FALSE,FALSE,FALSE,FALSE,458,37.9310344827586,9.82109191159461e-08,-0.225318305877885
"Search Timeline",TRUE,2009-04-01,2011-01-01,24600,"service",FALSE,FALSE,FALSE,FALSE,640,16.5322580645161,3.32651749500423e-07,-0.188071975885873
"Fast Flip",TRUE,2009-09-01,2011-09-01,202000,"service",TRUE,FALSE,FALSE,FALSE,730,151.310861423221,2.16469694752827e-06,-0.384823110119584
"Sidewiki",TRUE,2009-09-23,2011-12-05,504000,"service",FALSE,FALSE,FALSE,FALSE,803,383.853769992384,5.22338582555434e-06,-0.489235588603402
"Listen",TRUE,2009-08-01,2012-01-01,216000,"program",FALSE,FALSE,FALSE,FALSE,883,158.125915080527,2.4264165306869e-06,-0.391627690878802
"Classic Plus",TRUE,2010-06-01,2012-11-01,489000,"service",FALSE,FALSE,FALSE,FALSE,884,460.45197740113,3.46037291314459e-06,-0.487684358294951
"Buzz",TRUE,2010-02-09,2012-10-16,55800000,"service",FALSE,FALSE,FALSE,TRUE,980,47529.8126064736,0.00046815476707856,-1.40465860251205
"Wave",TRUE,2009-05-01,2012-04-30,1980000,"program",FALSE,TRUE,FALSE,TRUE,1095,1358.02469135802,2.55808054473864e-05,-0.682240666393125
"Maps API for Flash",TRUE,2008-05-14,2011-09-02,649000,"service",FALSE,FALSE,FALSE,FALSE,1206,358.563535911602,1.4317934454535e-05,-0.527354053372914
"Places Directory app (Android)",TRUE,2009-02-01,2012-09-01,287000,"program",TRUE,FALSE,FALSE,FALSE,1308,185.52036199095,4.2450985095825e-06,-0.422253200801037
"Health",TRUE,2008-05-01,2012-01-01,918000,"service",FALSE,FALSE,FALSE,FALSE,1340,503.565551289084,2.06566939861499e-05,-0.576753700808418
"Code Search API",TRUE,2008-04-01,2012-01-01,6490000,"service",FALSE,FALSE,FALSE,FALSE,1370,3502.42849433351,0.000152851080008016,-0.928883305426672
"Knol",TRUE,2008-07-23,2012-04-30,2560000,"service",TRUE,FALSE,FALSE,FALSE,1377,1471.26436781609,5.07764558757944e-05,-0.73764361366613
"Apps for Teams",TRUE,2008-06-01,2012-06-01,153000,"service",FALSE,FALSE,FALSE,FALSE,1461,85.3794642857143,3.28430662075628e-06,-0.352208187232455
