"Day","Feedback","Visits"
2011-11-08,TRUE,588
2011-11-09,FALSE,604
2011-11-10,TRUE,547
2011-11-11,FALSE,432
2011-11-12,FALSE,463
2011-11-13,FALSE,531
2011-11-14,FALSE,574
2011-11-15,FALSE,609
2011-11-16,FALSE,647
2011-11-17,FALSE,530
2011-11-18,FALSE,487
2011-11-19,FALSE,475
2011-11-20,FALSE,555
2011-11-21,FALSE,726
2011-11-22,FALSE,662
2011-11-23,FALSE,545
2011-11-24,FALSE,473
2011-11-25,FALSE,515
2011-11-26,TRUE,808
2011-11-27,TRUE,1176
2011-11-28,TRUE,1078
2011-11-29,FALSE,946
2011-11-30,FALSE,1028
2011-12-01,FALSE,740
2011-12-02,FALSE,622
2011-12-03,TRUE,680
2011-12-04,FALSE,938
2011-12-05,TRUE,918
2011-12-06,FALSE,843
2011-12-07,FALSE,899
2011-12-08,TRUE,1037
2011-12-09,FALSE,782
2011-12-10,FALSE,850
2011-12-11,FALSE,1436
2011-12-12,FALSE,1020
2011-12-13,FALSE,799
2011-12-14,FALSE,780
2011-12-15,FALSE,745
2011-12-16,FALSE,846
2011-12-17,FALSE,846
2011-12-18,FALSE,850
2011-12-19,FALSE,903
2011-12-20,FALSE,1279
2011-12-21,FALSE,834
2011-12-22,FALSE,835
2011-12-23,FALSE,681
2011-12-24,FALSE,594
2011-12-25,FALSE,541
2011-12-26,FALSE,693
2011-12-27,FALSE,1857
2011-12-28,FALSE,986
2011-12-29,FALSE,742
2011-12-30,FALSE,733
2011-12-31,FALSE,596
2012-01-01,FALSE,711
2012-01-02,FALSE,863
2012-01-03,FALSE,864
2012-01-04,FALSE,886
2012-01-05,FALSE,994
2012-01-06,FALSE,849
2012-01-07,FALSE,834
2012-01-08,FALSE,890
2012-01-09,FALSE,1066
2012-01-10,FALSE,959
2012-01-11,FALSE,1001
2012-01-12,FALSE,913
2012-01-13,FALSE,775
2012-01-14,FALSE,893
2012-01-15,FALSE,1033
2012-01-16,FALSE,1126
2012-01-17,TRUE,1073
2012-01-18,FALSE,1253
2012-01-19,FALSE,1148
2012-01-20,FALSE,1181
2012-01-21,FALSE,1325
2012-01-22,FALSE,1384
2012-01-23,FALSE,1286
2012-01-24,TRUE,1260
2012-01-25,FALSE,1276
2012-01-26,FALSE,1353
2012-01-27,FALSE,2052
2012-01-28,FALSE,1445
2012-01-29,FALSE,1372
2012-01-30,FALSE,1899
2012-01-31,FALSE,1852
2012-02-01,FALSE,1998
2012-02-02,FALSE,1956
2012-02-03,FALSE,1901
2012-02-04,FALSE,1827
2012-02-05,TRUE,1830
2012-02-06,FALSE,1915
2012-02-07,TRUE,1729
2012-02-08,TRUE,1699
2012-02-09,FALSE,1673
2012-02-10,FALSE,1519
2012-02-11,FALSE,1955
2012-02-12,FALSE,2206
2012-02-13,FALSE,2216
2012-02-14,TRUE,5442
2012-02-15,FALSE,4453
2012-02-16,TRUE,1915
2012-02-17,FALSE,1906
2012-02-18,FALSE,1486
2012-02-19,TRUE,1821
2012-02-20,FALSE,2160
2012-02-21,FALSE,1985
2012-02-22,FALSE,3331
2012-02-23,FALSE,2303
2012-02-24,FALSE,1578
2012-02-25,TRUE,4848
2012-02-26,FALSE,8355
2012-02-27,TRUE,3259
2012-02-28,FALSE,2150
2012-02-29,FALSE,1996
2012-03-01,FALSE,1728
2012-03-02,FALSE,1648
2012-03-03,FALSE,1728
2012-03-04,FALSE,1679
2012-03-05,FALSE,2311
2012-03-06,FALSE,1939
2012-03-07,TRUE,1799
2012-03-08,FALSE,1899
2012-03-09,FALSE,1523
2012-03-10,FALSE,1417
2012-03-11,FALSE,1521
2012-03-12,FALSE,1713
2012-03-13,FALSE,1729
2012-03-14,FALSE,1632
2012-03-15,FALSE,1460
2012-03-16,FALSE,1473
2012-03-17,FALSE,1282
2012-03-18,FALSE,1599
2012-03-19,FALSE,2446
2012-03-20,FALSE,2089
2012-03-21,FALSE,1787
2012-03-22,FALSE,1658
2012-03-23,FALSE,1443
2012-03-24,FALSE,1349
2012-03-25,FALSE,1406
2012-03-26,FALSE,1611
2012-03-27,FALSE,1644
2012-03-28,FALSE,1597
2012-03-29,FALSE,2764
2012-03-30,FALSE,1801
2012-03-31,FALSE,1563
2012-04-01,FALSE,2129
2012-04-02,FALSE,2020
2012-04-03,FALSE,3389
2012-04-04,FALSE,2242
2012-04-05,FALSE,1792
2012-04-06,FALSE,1587
2012-04-07,FALSE,1627
2012-04-08,FALSE,1755
2012-04-09,FALSE,2019
2012-04-10,TRUE,2098
2012-04-11,FALSE,3084
2012-04-12,FALSE,2148
2012-04-13,FALSE,2041
2012-04-14,TRUE,1753
2012-04-15,FALSE,1913
2012-04-16,TRUE,4433
2012-04-17,FALSE,5725
2012-04-18,FALSE,3642
2012-04-19,FALSE,2585
2012-04-20,FALSE,2311
2012-04-21,FALSE,2258
2012-04-22,FALSE,2380
2012-04-23,FALSE,2538
2012-04-24,FALSE,2250
2012-04-25,FALSE,2140
2012-04-26,FALSE,2285
