"User","Start","End","FirstChapter","LastChapter","Days","Dead","Late","Delay"
"00Agent7",12-05-22,12-05-22,85,85,0,FALSE,TRUE,243
"1000Nachts",12-11-06,12-11-08,10,39,2,TRUE,TRUE,0
"101BoOkWoRm101",10-11-03,10-11-03,11,2,0,TRUE,FALSE,1
"109",10-06-29,11-09-06,27,77,434,TRUE,FALSE,187
"110468",12-07-25,12-07-25,7,7,0,TRUE,TRUE,3
"12345",10-06-17,10-06-17,5,5,0,TRUE,FALSE,9
"12763457",10-10-07,12-03-23,49,80,533,TRUE,FALSE,5
"12Lionzroar12",12-12-14,12-12-14,4,4,0,TRUE,TRUE,5
"12neo",13-04-23,13-04-27,8,40,4,TRUE,TRUE,5
"12 years and counting",11-03-02,11-03-02,4,4,0,TRUE,TRUE,5
"13300'th Review",11-05-13,11-05-13,71,71,0,TRUE,TRUE,52
"15000",11-10-30,11-10-30,1,1,0,TRUE,TRUE,0
"1angelette",10-06-25,10-06-25,26,26,0,TRUE,FALSE,11
"1Batman4u",10-03-11,10-03-26,5,8,15,TRUE,FALSE,5
"2",12-04-04,12-04-04,82,82,0,TRUE,TRUE,1
"2642379",10-12-29,11-04-06,63,71,98,TRUE,TRUE,52
"2guard",12-01-06,12-01-06,47,47,0,TRUE,TRUE,10
"2NE1forever",11-03-25,11-03-25,4,4,0,TRUE,TRUE,5
"2wingo",11-02-05,11-02-05,1,1,0,TRUE,TRUE,0
"333",11-12-21,11-12-21,47,47,0,TRUE,TRUE,10
"34567876545678767",11-06-09,11-06-09,67,67,0,TRUE,TRUE,11
"3AM",11-01-28,11-01-28,69,69,0,TRUE,TRUE,25
"3broomsticks",13-04-04,13-04-04,5,5,0,TRUE,TRUE,9
"3rd time's the charm",12-02-02,12-02-02,65,65,0,TRUE,TRUE,10
"3sAnd1",12-01-08,12-01-08,1,1,0,TRUE,TRUE,0
"434",10-06-21,10-06-21,26,26,0,TRUE,FALSE,11
"439UK",11-05-28,11-05-28,72,72,0,TRUE,TRUE,89
"4th in-laws",12-03-02,12-03-02,77,77,0,TRUE,TRUE,187
"54rt0r1u5",13-03-19,13-03-19,5,5,0,TRUE,TRUE,9
"666TheWitch666",11-03-01,11-03-01,11,11,0,TRUE,TRUE,1
"75th",11-01-29,11-08-29,63,74,212,TRUE,TRUE,3
"782",10-09-25,11-09-04,47,76,344,TRUE,FALSE,3
"7ly",12-12-21,12-12-21,87,87,0,FALSE,TRUE,NA
"7Nexus21",12-04-09,12-04-10,10,20,1,TRUE,TRUE,7
"7thtreasure",12-01-17,12-01-17,77,77,0,TRUE,TRUE,187
"80286",10-03-17,10-03-17,6,6,0,TRUE,FALSE,6
"8Silver8",11-04-14,11-05-28,5,72,44,TRUE,TRUE,89
"989fox989",12-11-12,12-11-18,6,27,6,TRUE,TRUE,7
"a",10-10-31,11-07-09,56,72,251,TRUE,FALSE,89
"A",10-07-04,12-03-10,29,77,615,TRUE,FALSE,187
"Aa",12-01-23,12-01-23,76,76,0,TRUE,TRUE,3
"aaa",12-03-14,12-03-16,78,79,2,TRUE,TRUE,7
"aaarrr",10-05-02,10-05-02,18,18,0,TRUE,FALSE,5
"aalens",10-03-09,10-04-14,1,16,36,TRUE,FALSE,10
"Aamaterasu",11-06-22,11-06-23,2,11,1,TRUE,TRUE,1
"Aannoonnyymmoouuss",12-04-11,12-04-11,84,84,0,FALSE,TRUE,7
"aarone5199",10-04-07,10-04-07,11,11,0,TRUE,FALSE,1
"Aaron Lowe",12-03-12,12-03-12,78,78,0,TRUE,TRUE,4
"aaronmicalowe",10-06-22,12-04-04,26,82,652,TRUE,FALSE,1
"Aaron Swartz",12-02-01,12-02-01,1,1,0,TRUE,TRUE,0
"abacab",11-02-23,11-04-06,70,71,42,TRUE,TRUE,52
"Abbey Grimm Dawn",13-04-06,13-04-06,1,1,0,TRUE,TRUE,0
"ABCDEFGHIJKLMNOPQRSTUVWQYZ1234",11-03-11,11-06-15,1,8,96,TRUE,TRUE,5
"Abderite",10-08-22,10-08-22,39,39,0,TRUE,FALSE,0
"Abdulhmar king of squirrels",12-05-24,12-05-24,16,16,0,TRUE,TRUE,10
"A Befuddled Fan",11-03-21,11-03-21,1,1,0,TRUE,TRUE,0
"abelrising",10-10-11,11-01-28,1,69,109,TRUE,FALSE,25
"A Better Mathematician",10-04-15,10-04-15,15,15,0,TRUE,FALSE,2
"A Bibliophile",10-05-02,11-09-03,10,76,489,TRUE,FALSE,3
"Abigail",11-10-15,11-10-16,2,47,1,TRUE,TRUE,10
"A bit of genetics",12-03-21,12-03-21,23,23,0,TRUE,TRUE,4
"Abor Sapienti",12-06-10,12-06-10,20,85,0,FALSE,TRUE,243
"aboulhosncc",10-03-11,10-03-11,5,5,0,TRUE,FALSE,9
"absolute-insanity",10-09-25,10-10-23,47,51,28,TRUE,FALSE,1
"Acat",10-05-09,10-05-09,20,20,0,TRUE,FALSE,7
"Acaykath",11-04-30,11-04-30,71,71,0,TRUE,TRUE,52
"Accidental Child",11-06-07,11-06-07,6,6,0,TRUE,TRUE,6
"Ace",12-12-17,12-12-17,85,85,0,FALSE,TRUE,243
"ACE",11-07-10,11-07-10,5,5,0,TRUE,TRUE,9
"acelly",10-03-09,10-03-26,5,8,17,TRUE,FALSE,5
"ACEofREDspades",11-04-24,11-04-24,71,71,0,TRUE,TRUE,52
"acepro Evolution",10-03-18,10-05-11,6,19,54,TRUE,FALSE,2
"A Changing Persona",11-07-18,11-09-02,72,75,46,TRUE,TRUE,3
"Acilio",10-12-10,10-12-10,62,62,0,TRUE,TRUE,1
"AckSed",10-11-21,12-12-21,60,87,761,FALSE,FALSE,NA
"A Common Hero",10-11-15,10-11-16,2,39,1,TRUE,FALSE,0
"A Cornish Famine",10-06-26,10-06-26,27,27,0,TRUE,FALSE,7
"acquaatnu",10-03-31,10-03-31,9,9,0,TRUE,FALSE,3
"acruducks",11-04-10,11-04-10,18,18,0,TRUE,TRUE,5
"A Curious Reviewer",10-11-15,10-11-15,58,58,0,TRUE,FALSE,13
"adad641",12-09-02,12-09-02,23,85,0,FALSE,TRUE,243
"Adam",11-08-28,12-04-20,74,85,236,FALSE,TRUE,243
"Adamant",12-03-22,12-03-22,80,80,0,TRUE,TRUE,5
"Adam Casey",10-11-01,10-11-01,56,56,0,TRUE,FALSE,6
"Adam Georgiou",11-04-19,11-04-19,71,71,0,TRUE,TRUE,52
"adamjb",10-05-09,12-03-27,20,81,688,TRUE,FALSE,7
"Adam Shea",10-04-11,10-11-23,14,60,226,TRUE,FALSE,5
"AdamSpitz",11-02-27,11-08-11,70,72,165,TRUE,TRUE,89
"addicted2text",11-01-06,11-02-23,64,70,48,TRUE,TRUE,42
"addisonj",10-03-27,10-04-12,8,10,16,TRUE,FALSE,4
"ADD Kyuubi Naruto",10-03-22,10-03-22,6,6,0,TRUE,FALSE,6
"A. Deca",10-12-04,10-12-05,1,15,1,TRUE,TRUE,2
"Adelaide 'Adell' Peirce",10-04-23,10-05-03,16,18,10,TRUE,FALSE,5
"Adele365",11-03-12,11-03-12,22,22,0,TRUE,TRUE,1
"Adellie",13-01-02,13-01-02,1,1,0,TRUE,TRUE,0
"Adeptis",10-07-31,10-10-23,32,51,84,TRUE,FALSE,1
"Adikted2Muzekls",10-03-23,10-04-05,4,10,13,TRUE,FALSE,4
"a displeased reader",10-04-10,10-04-10,13,13,0,TRUE,FALSE,1
"adkjfkldjf",12-01-27,12-01-27,77,77,0,TRUE,TRUE,187
"admiralskippy",11-03-22,12-01-21,14,2,305,TRUE,TRUE,1
"Admiral Skippy",11-03-06,11-03-06,1,1,0,TRUE,TRUE,0
"admiral skippy",11-04-27,11-04-27,71,71,0,TRUE,TRUE,52
"Admirer",10-03-10,10-03-10,5,5,0,TRUE,FALSE,9
"Adonish",10-09-03,10-09-05,18,1,2,TRUE,FALSE,0
"Adrence",10-11-12,11-01-29,58,69,78,TRUE,FALSE,25
"Adrian Nightshade",11-11-16,11-11-16,77,77,0,TRUE,TRUE,187
"AdVitum01",10-09-06,11-01-24,46,68,140,TRUE,FALSE,4
"Advve",12-04-02,12-04-02,1,1,0,TRUE,TRUE,0
"Aealket",10-03-09,10-05-02,5,18,54,TRUE,FALSE,5
"Aegeus",11-01-27,11-01-27,60,60,0,TRUE,TRUE,5
"Aelar",10-12-15,10-12-15,36,36,0,TRUE,TRUE,0
"aeris",10-04-08,10-10-06,11,47,181,TRUE,FALSE,10
"aeschenkarnos",10-05-12,10-05-12,20,20,0,TRUE,FALSE,7
"Aestiva",12-12-22,12-12-22,5,5,0,TRUE,TRUE,9
"a fan",11-11-21,11-11-21,1,1,0,TRUE,TRUE,0
"A Fan",10-05-20,12-01-17,21,14,607,TRUE,FALSE,1
"A fan",11-09-03,12-03-13,76,12,192,TRUE,TRUE,2
"Afina Kedavra",11-04-08,11-09-09,71,77,154,TRUE,TRUE,187
"a fine mess098",11-01-28,12-04-29,8,85,457,FALSE,TRUE,243
"aFiZ",10-03-11,10-06-26,5,27,107,TRUE,FALSE,7
"AFM",11-01-27,11-01-27,68,68,0,TRUE,TRUE,4
"afroman",10-05-04,10-05-04,18,18,0,TRUE,FALSE,5
"Aftermath 2",10-07-05,10-07-05,28,28,0,TRUE,FALSE,1
"A.F. WolfSlinx",11-01-28,11-01-28,69,69,0,TRUE,TRUE,25
"Agent KC",12-03-06,12-03-06,77,77,0,TRUE,TRUE,187
"Agent Nightly",10-08-15,10-08-15,10,10,0,TRUE,FALSE,4
"Agent Rinuka",11-05-27,11-05-27,72,72,0,TRUE,TRUE,89
"agouraki",10-04-03,10-11-27,5,62,238,TRUE,FALSE,1
"A Grilled Fish",11-06-16,11-06-16,72,72,0,TRUE,TRUE,89
"Ag Surfer",11-07-12,11-07-12,50,50,0,TRUE,TRUE,8
"ahappytune",13-03-21,13-03-21,33,33,0,TRUE,TRUE,1
"Aharon",10-07-05,11-05-24,29,71,323,TRUE,FALSE,52
"ahd",11-07-17,11-07-17,72,72,0,TRUE,TRUE,89
"A Helpful Reviewer",12-04-04,12-04-04,82,82,0,TRUE,TRUE,1
"A humble Fan",10-10-30,10-10-30,25,25,0,TRUE,FALSE,3
"A Hungry Dragon",12-01-22,12-01-22,77,77,0,TRUE,TRUE,187
"AiCue",11-04-23,11-04-23,69,69,0,TRUE,TRUE,25
"Aidan",11-09-14,11-09-14,1,1,0,TRUE,TRUE,0
"aiden",12-01-11,12-01-11,77,77,0,TRUE,TRUE,187
"aiieee it's got an axe",10-03-10,10-03-10,5,5,0,TRUE,FALSE,9
"AIIIIIIIIIIEEEEEEEEEEEEEE",12-06-02,12-06-02,13,13,0,TRUE,TRUE,1
"Aimee",12-01-08,12-01-08,1,1,0,TRUE,TRUE,0
"Ainnenoi Aurum",10-10-28,10-10-28,54,54,0,TRUE,FALSE,7
"Aino Ailill",10-09-18,10-09-18,5,5,0,TRUE,FALSE,9
"Ainscough",11-02-06,11-04-05,69,71,58,TRUE,TRUE,52
"Aio",12-01-17,12-01-17,14,14,0,TRUE,TRUE,1
"AirBreak",13-01-09,13-01-09,5,5,0,TRUE,TRUE,9
"Airene",10-03-31,10-03-31,9,9,0,TRUE,FALSE,3
"AiSard",10-03-23,12-03-22,7,80,730,TRUE,FALSE,5
"Aishata",11-01-09,12-04-19,65,85,466,FALSE,TRUE,243
"AJ Forever and Always",12-08-26,12-08-26,1,1,0,TRUE,TRUE,0
"ajgrovery",11-09-10,11-09-10,25,25,0,TRUE,TRUE,3
"Akane Arihyoshi",11-01-04,11-01-04,5,5,0,TRUE,TRUE,9
"AkaneDied",12-12-16,12-12-16,86,86,0,FALSE,TRUE,5
"Akaris",10-04-04,10-04-04,10,10,0,TRUE,FALSE,4
"aka.thenewguy",10-08-10,10-08-10,5,5,0,TRUE,FALSE,9
"Akatsuki210",11-03-26,11-05-07,11,43,42,TRUE,TRUE,0
"akibara",11-12-19,11-12-19,6,6,0,TRUE,TRUE,6
"Akio F",12-04-11,12-04-11,4,4,0,TRUE,TRUE,5
"Akira Stridder",10-03-11,10-04-03,5,10,23,TRUE,FALSE,4
"AkitaSagaraAlanya",12-11-18,12-11-18,16,16,0,TRUE,TRUE,10
"Akiyama",10-09-13,12-09-04,46,74,722,TRUE,FALSE,3
"Akoda",11-11-11,11-11-11,17,17,0,TRUE,TRUE,8
"AkoyaMizuno",10-04-01,10-04-01,5,5,0,TRUE,FALSE,9
"Akshatsinghal",11-09-03,11-09-03,76,76,0,TRUE,TRUE,3
"A.K.S.Knight",12-06-04,12-06-04,5,5,0,TRUE,TRUE,9
"AkuAku",11-10-04,11-10-05,1,6,1,TRUE,TRUE,6
"aku chi",11-07-23,11-07-23,14,14,0,TRUE,TRUE,1
"Aku-dono",10-03-28,10-03-28,8,8,0,TRUE,FALSE,5
"Akylae",11-08-27,11-08-27,1,1,0,TRUE,TRUE,0
"Akyra of Gallia",11-05-06,11-05-06,71,71,0,TRUE,TRUE,52
"Al",10-06-07,11-01-17,23,67,224,TRUE,FALSE,11
"Alaendil",10-03-16,10-03-16,5,5,0,TRUE,FALSE,9
"Alaiac",10-03-12,10-03-12,5,5,0,TRUE,FALSE,9
"alaikiyasdr",10-03-18,10-03-18,6,6,0,TRUE,FALSE,6
"Alan",10-11-11,10-11-11,58,58,0,TRUE,FALSE,13
"Alanna the Elf",13-03-07,13-03-07,7,7,0,TRUE,TRUE,3
"Alaria",13-04-23,13-04-23,87,87,0,FALSE,TRUE,NA
"alaskan-dracolych",10-03-13,10-03-31,5,9,18,TRUE,FALSE,3
"Alasse Irena",10-05-30,10-05-30,5,5,0,TRUE,FALSE,9
"Alastiran",10-04-09,10-04-09,12,12,0,TRUE,FALSE,2
"alasweneverdo",11-07-22,11-07-23,10,40,1,TRUE,TRUE,5
"Alban",10-09-06,10-09-06,46,46,0,TRUE,FALSE,20
"Albernheit",11-04-29,11-06-09,33,72,41,TRUE,TRUE,89
"AlbinoButterfly",11-10-01,11-10-04,24,77,3,TRUE,TRUE,187
"AlchemistofSilver",10-06-17,11-09-03,1,76,443,TRUE,FALSE,3
"alchymie",10-03-31,12-03-23,9,80,723,TRUE,FALSE,5
"aldeka",11-09-01,12-12-17,74,86,473,FALSE,TRUE,5
"Aldgar Omk",12-03-23,12-03-27,80,81,4,TRUE,TRUE,7
"Aldous Horcruxley",12-01-20,12-01-20,77,77,0,TRUE,TRUE,187
"alec-potter",10-03-10,10-03-10,5,5,0,TRUE,FALSE,9
"alephOne",11-03-30,11-03-30,70,70,0,TRUE,TRUE,42
"Alessandro",10-03-12,10-04-26,5,17,45,TRUE,FALSE,8
"alethiophile",12-03-22,12-03-22,80,80,0,TRUE,TRUE,5
"Aleurites",11-02-18,11-08-27,65,72,190,TRUE,TRUE,89
"Alex",10-04-13,12-12-18,13,86,980,FALSE,FALSE,5
"alex",10-11-05,10-11-05,56,56,0,TRUE,FALSE,6
"alex789",12-01-02,12-06-07,1,85,157,FALSE,TRUE,243
"Alex Altair",12-03-28,12-03-28,1,1,0,TRUE,TRUE,0
"Alexa M 78",10-04-10,10-04-10,13,13,0,TRUE,FALSE,1
"Alexander",11-08-28,11-08-28,73,73,0,TRUE,TRUE,4
"Alexander Pierce",11-08-23,11-08-23,11,11,0,TRUE,TRUE,1
"Alexandra",10-11-27,10-11-27,62,62,0,TRUE,TRUE,1
"Alexandrel",12-03-12,12-03-12,78,78,0,TRUE,TRUE,4
"Alexandr Kazda",11-12-30,11-12-30,1,1,0,TRUE,TRUE,0
"Alexandros",11-01-14,11-01-14,67,67,0,TRUE,TRUE,11
"Alexandus",12-04-20,12-12-17,85,86,241,FALSE,TRUE,5
"Alexeon",11-12-28,12-04-17,21,85,111,FALSE,TRUE,243
"Alexi Karas",11-12-29,11-12-29,77,77,0,TRUE,TRUE,187
"Alexis",11-06-07,11-06-07,10,10,0,TRUE,TRUE,4
"AlexMBrennan",10-12-30,10-12-30,45,45,0,TRUE,TRUE,0
"Alex Mennen",10-06-14,12-03-28,24,81,653,TRUE,FALSE,7
"Alextfish",10-11-02,10-11-02,56,56,0,TRUE,FALSE,6
"alextfish",12-03-28,12-03-28,81,81,0,TRUE,TRUE,7
"alex-uk",10-04-02,10-04-02,9,9,0,TRUE,FALSE,3
"AlfredLovesArthur",11-06-21,11-06-21,5,5,0,TRUE,TRUE,9
"Alfvaen",10-12-10,10-12-10,10,10,0,TRUE,TRUE,4
"alguien",10-10-05,10-10-05,11,11,0,TRUE,FALSE,1
"alguLoD",10-03-12,10-07-25,5,32,135,TRUE,FALSE,6
