"Exchange","Country","Origin","Dates","ActiveDailyVolume","Closed","Breached","Repaid","AML","Risk Ratio"
"BitcoinMarket","US",2010-04-01,2011-06-01,2454,1,1,NA,34.3,1.12
"Bitomat","PL",2011-04-01,2011-08-01,758,1,1,1,21.7,1.28
"FreshBTC","PL",2011-08-01,2011-09-01,3,1,0,NA,21.7,2.01
"Bitcoin7","US/BG",2011-06-01,2011-10-01,528,1,1,0,33.3,1.59
"ExchangeBitCoins.com","US",2011-06-01,2011-10-01,551,1,0,NA,34.3,0.65
"Bitchange.pl","PL",2011-08-01,2011-10-01,380,1,0,NA,21.7,0.61
"Brasil Bitcoin Market","BR",2011-09-01,2011-11-01,0,1,0,NA,24.3,3.85
"Aqoin","ES",2011-09-01,2011-11-01,11,1,0,NA,30.7,1.57
"Global Bitcoin Exchange","?",2011-09-01,2012-01-01,14,1,0,NA,27.9,1.45
"Bitcoin2Cash","US",2011-04-01,2012-01-01,18,1,0,NA,34.3,1.47
"TradeHill","US",2011-06-01,2012-02-01,5082,1,1,1,34.3,0.94
"World Bitcoin Exchange","AU",2011-08-01,2012-02-01,220,1,1,0,25.7,1.80
"Ruxum","US",2011-06-01,2012-04-01,37,1,0,1,34.3,1.24
"btctree","US/CN",2012-05-01,2012-07-01,75,1,0,1,29.2,0.98
"btcex.com","RU",2010-09-01,2012-07-01,528,1,0,0,27.7,0.61
"IMCEX.com","SC",2011-07-01,2012-10-01,2,1,0,NA,11.9,1.88
"Crypto X Change","AU",2011-11-01,2012-11-01,874,1,0,NA,25.7,0.53
"Bitmarket.eu","PL",2011-04-01,2012-12-01,33,1,0,0,21.7,1.09
"bitNZ","NZ",2011-09-01,2013-01-16,27,0,0,NA,21.3,1.14
"ICBIT Stock Exchange","SE",2012-03-01,2013-01-16,3,0,0,NA,27.0,2.15
"WeExchange","US/AU",2011-10-01,2013-01-16,2,0,0,NA,30.0,2.23
"Vircurex","US?",2011-12-01,2013-01-16,6,0,1,NA,27.9,4.41
"btc-e.com","BG",2011-08-01,2013-01-16,2604,0,1,1,32.3,1.08
"Mercado Bitcoin","BR",2011-07-01,2013-01-16,67,0,0,NA,24.3,0.95
"Canadian Virtual Exchange","CA",2011-06-01,2013-01-16,832,0,0,NA,25.0,0.53
"btcchina.com","CN",2011-06-01,2013-01-16,473,0,0,NA,24.0,0.60
"bitcoin-24.com","DE",2012-05-01,2013-01-16,924,0,0,NA,26.0,0.52
"VirWox","DE",2011-04-01,2013-01-16,1668,0,0,NA,26.0,0.45
"Bitcoin.de","DE",2011-08-01,2013-01-16,1204,0,0,NA,26.0,0.49
"Bitcoin Central","FR",2011-01-01,2013-01-16,118,0,0,NA,31.7,0.91
"Mt. Gox","JP",2010-07-01,2013-01-16,43230,0,1,1,22.7,0.49
"Bitcurex","PL",2012-07-01,2013-01-16,157,0,0,NA,21.7,0.76
"Kapiton","SE",2012-04-01,2013-01-16,160,0,0,NA,27.0,0.80
"bitstamp","SL",2011-09-01,2013-01-16,1274,0,0,NA,35.3,0.54
"InterSango","UK",2011-07-01,2013-01-16,2741,0,0,NA,35.3,0.45
"Bitfloor","US",2012-05-01,2013-01-16,816,0,1,0,34.3,1.45
"Camp BX","US",2011-07-01,2013-01-16,622,0,0,NA,34.3,0.63
"The Rock Trading Company","US",2011-06-01,2013-01-16,52,0,0,NA,34.3,1.14
"bitme","US",2012-07-01,2013-01-16,77,0,0,NA,34.3,1.04
"FYB-SG","SG",2013-01-01,2013-01-16,3,0,0,NA,33.7,2.23
