"Subject","Date","TimeOfDay","ErrorCount","TestDuration","Meditated"
"00",2013-04-11,"7:26",3,85.78,FALSE
"00",2013-04-11,"7:28",1,84.92,FALSE
"00",2013-04-11,"7:30",1,85.97,FALSE
"00",2013-04-11,"10:01",0,75.37,FALSE
"00",2013-04-11,"10:04",1,85.45,FALSE
"00",2013-04-11,"19:38",1,77.32,FALSE
"00",2013-04-11,"19:42",0,68.67,FALSE
"00",2013-04-12,"8:01",1,78.73,FALSE
"00",2013-04-12,"8:02",0,75.75,FALSE
"00",2013-04-12,"8:04",1,82.2,FALSE
"00",2013-04-12,"9:40",1,78.13,FALSE
"00",2013-04-13,"6:42",0,78.03,FALSE
"00",2013-04-13,"6:44",3,79.25,FALSE
"00",2013-04-13,"6:46",3,92.96,FALSE
"00",2013-04-13,"9:40",5,75,FALSE
"00",2013-04-13,"10:57",0,79.33,FALSE
"00",2013-04-13,"16:03",0,73.86,FALSE
"00",2013-04-13,"16:24",5,101.37,FALSE
"00",2013-04-14,"8:18",1,78.1,FALSE
"00",2013-04-14,"8:20",4,87.05,FALSE
"00",2013-04-14,"8:22",4,85.92,FALSE
"00",2013-04-14,"16:16",1,84.12,FALSE
"00",2013-04-14,"20:57",1,75.52,FALSE
"00",2013-04-14,"20:59",0,71.48,FALSE
"00",2013-04-14,"21:01",1,83.88,FALSE
"00",2013-04-15,"8:52",3,80.17,FALSE
"00",2013-04-15,"9:20",0,70.07,FALSE
"00",2013-04-15,"9:22",2,89.78,FALSE
"00",2013-04-15,"13:19",4,85.69,FALSE
"00",2013-04-15,"23:31",0,74.68,FALSE
"00",2013-04-16,"9:23",2,75.91,FALSE
"00",2013-04-16,"9:25",2,74.11,FALSE
"00",2013-04-16,"10:17",5,79.85,FALSE
"00",2013-04-16,"13:13",0,88.32,FALSE
"00",2013-04-16,"18:31",4,85.41,FALSE
"00",2013-04-16,"18:33",2,75.01,FALSE
"00",2013-04-17,"8:53",2,86.86,FALSE
"00",2013-04-17,"8:58",6,87.75,FALSE
"00",2013-04-17,"12:56",3,77.56,FALSE
"00",2013-04-17,"16:00",3,93.36,FALSE
"00",2013-04-17,"16:03",0,75.76,FALSE
"00",2013-04-17,"16:14",4,73.28,FALSE
"00",2013-04-17,"16:16",9,95.34,FALSE
"00",2013-04-17,"19:57",3,72.51,FALSE
"00",2013-04-18,"7:15",NA,NA,NA
"00",2013-04-18,"7:30",1,67.6,TRUE
"00",2013-04-18,"7:32",0,71.26,TRUE
"00",2013-04-18,"7:34",2,76.84,TRUE
"00",2013-04-18,"16:06",1,69.12,TRUE
"00",2013-04-18,"16:24",0,67.93,TRUE
"00",2013-04-18,"16:26",2,78.82,TRUE
"00",2013-04-18,"17:54",5,71.64,TRUE
"00",2013-04-18,"17:56",2,77.22,TRUE
"00",2013-04-18,"18:04",1,73.26,TRUE
"00",2013-04-18,"18:19",4,78.57,TRUE
