Sleep Date,Total Z,Wake Time,Intensity,Recall,Emotion,Interrupted,Melatonin,Lucid,Day quality
2004.03.05,510,,0.4,,,0,0,,
2004.03.28,540,,0.3,,,0,0,,
2004.06.04,775,,0.6,,,0,0,,
2004.09.24,900,,0.55,,,0,0,,
2004.10.17,540,,0.7,,,0,0,,
2008.06.13,360,,,,,0,0,,
2008.10.26,450,,,,,0,0,,
2009.03.26,510,,,,,0,0,,
2010.07.20,480,,0.4,,,0,0,,
2010.07.21,480,,0.2,,,0,0,,
2010.08.18,480,16:00,0.9,,,1,0,0.6,
2010.08.22,900,,7,,,0,0,,
2010.08.31,390,,0.8,,,0,0,,
2010.09.10,900,,0.7,,,0,0,,
2010.10.09,450,,0.4,,,0,0,,
2010.10.26,450,,0.3,,,0,0,,
2010.11.03,480,,0.4,,,0,0,,
2010.11.05,900,,0.5,0.1,,0,0,,
2010.11.10,660,15:00,0.5,0.4,,0,0,,
2010.11.27,720,17:00,0.6,0.2,,0,0,,
2010.12.01,540,,4,0.8,,0,0,,
2011.02.09,720,,,0.7,,0,0,,
2011.03.19,540,,0.2,0.4,,0,0,,
2011.04.14,660,,,0.3,,1,0,,
2011.04.30,660,,,0.2,,0,0,,
2011.05.18,240,,,0.6,,0,0,,
2011.05.20,720,,,0.4,,0,0,,
2011.06.01,780,,,0.1,,0,0,,
2011.06.03,780,,,0.4,,0,0,,
2011.06.09,720,,,0.4,,0,0,,
2011.06.14,720,,0.6,0.4,,0,0,,
2011.06.17,720,,0.2,0.5,,0,0,,
2011.06.18,600,,0.4,0.3,,0,0,,
2011.06.19,720,,0.3,,,0,0,0.1,
2011.06.20,420,,0.5,0.4,,0,0,0.2,
2011.06.28,840,,0.5,0.1,,0,0,,
2011.07.02,960,,0.2,0.3,,0,0,,
2011.07.04,780,,0.4,0.7,,0,0,0,
2011.07.05,420,,0.6,0.6,,0,0,0.2,
2011.07.08,420,,0.2,0.4,,0,0,,
2011.07.11,720,,0.5,0.6,,0,0,,
2011.07.14,270,,0.2,0.2,,0,0,,
2011.07.15,600,,0.3,0.4,,0,0,,
2011.07.18,720,,0.4,0.3,,0,0,,
2011.08.08,480,,0.4,0.3,,0,0,,
2011.08.09,,,0.2,0.3,,0,0,,
2011.08.10,,,0.3,0.3,,0,0,,
2011.08.13,,,0.4,0.2,,0,0,,
2011.08.21,1080,,0.3,0.4,,0,0,,
2011.08.24,450,17:30,0.6,0.5,,0,0,0.2,
2011.08.26,720,,0.4,0.3,,0,0,,
2011.09.01,480,,0.2,0.4,,0,0,,
2011.09.03,720,,0.2,0.2,,0,0,,
2011.09.04,780,,0.5,0.6,,0,0,,
2011.09.07,480,,0.4,0.2,,0,0,0.1,
2011.09.12,600,,0.4,0.7,,0,0,,
2011.09.15,300,,0.6,0.4,,0,0,0.2,
2011.09.21,540,,0.6,0.1,,0,0,,
2011.09.24,540,,0.7,0.7,,0,0,,
2011.10.02,120,,0.4,0.4,,0,0,,
2011.10.02,390,,0.5,0.3,,0,0,,
2011.10.03,960,,0.4,0.1,,0,0,,
2011.10.05,900,,0.4,0.3,,0,0,,
2011.10.07,540,,0.3,0.4,,0,0,,
2011.10.08,480,,0.4,0.5,,0,0,,
2011.10.09,600,,0.2,0.1,,0,0,,
2011.10.10,600,,0.1,0.2,,0,0,,
2011.10.19,420,,0.2,0.1,,0,0,,
2011.10.20,750,,0.3,0.2,,0,0,,
2011.10.21,450,,0.3,0.3,,0,0,,
2011.10.22,765,,0.2,0.1,,0,0,,
2011.10.23,300,,0.3,0.2,,0,0,,
2011.10.24,420,,0.4,0.5,,0,0,,
2011.10.26,450,,0.5,0.2,,0,0,,
2011.10.27,510,14:02,0.4,0.1,,1,0,,
2011.10.29,600,21:00,0.3,0.1,,1,0,,
2011.10.31,780,,0.5,0.4,,0,0,,
2011.11.02,720,,0.4,0.4,,0,0,,
2011.11.03,1080,,0.5,0.1,,0,0,,
2011.11.04,360,,0.5,0.4,,0,0,,
2011.11.06,480,,0.4,0.2,,0,0,,
2011.11.07,600,,0.5,0.3,,0,0,,
2011.11.09,360,,0.4,0.4,,0,0,,
2011.11.10,720,,0.2,0.2,,0,0,,
2011.11.12,660,,0.2,0.2,,0,0,,
2011.11.14,600,,0.2,0.2,,0,0,,
2011.11.16,480,,0.4,0.3,,0,0,,
2011.11.17,420,,0.4,0.3,,0,0,,
2011.11.19,600,,0.2,0.3,,0,0,,
2011.11.20,480,,0.3,0.4,,0,0,,
2011.11.21,600,,0.4,0.5,,0,0,,
2011.11.23,630,,0.4,0.2,,0,0,,
2011.11.24,465,,0.3,0.2,,0,0,,
2011.11.26,600,,0.5,0.2,,0,0,,
2011.11.26,720,,0.3,0.4,,0,0,,
2011.11.27,420,,0.4,0.2,,0,0,,
2011.11.28,660,,0.6,0.4,,0,0,,
2011.11.29,480,,0.7,0.6,,0,0,,
2011.12.01,570,,0.4,0.4,,0,0,,
2011.12.02,510,,0.2,0.2,,0,0,,
2011.12.04,570,,0.4,0.3,,0,0,,
2011.12.06,540,,0.4,0.4,,0,0,,
2011.12.07,520,,0.4,0.3,,0,0,,
2011.12.08,480,,0.2,0.1,,0,0,,
2011.12.10,750,,0.5,0.6,,0,0,,
2011.12.11,450,,0.3,0.4,,0,0,,
2011.12.12,660,,0.4,0.6,,0,0,,
2011.12.13,480,,0.5,0.5,,0,0,,
2011.12.14,480,,0.3,0.3,,0,0,,
2011.12.16,600,,0.5,0.3,,0,0,,
2011.12.17,480,,0.4,0.3,,0,0,,
2011.12.24,600,,0.2,0.2,,0,0,,
2011.12.29,720,,0.2,0.3,,0,0,,
2011.12.31,1260,,0.3,0.1,,0,0,,
2012.01.01,480,,0.3,0.2,,0,0,,
2012.01.02,480,,0.4,0.2,,0,0,,
2012.01.04,480,,0.3,0.2,,0,0,,
2012.01.05,600,12:24,0.3,0.1,,1,0,,
2012.01.06,660,,0.3,0.2,,0,0,,
2012.01.08,1140,,0.3,0.5,,0,0,,
2012.01.10,480,,0.3,0.2,,0,0,,
2012.01.11,720,,0.3,0.4,,0,0,,
2012.01.12,540,,0.4,0.5,,0,0,,
2012.01.13,600,,0.3,0.1,,0,0,,
2012.01.14,600,,0.4,0.2,,0,0,,
2012.01.16,840,,0.3,0.1,,0,0,,
2012.01.18,720,,0.4,0.4,,0,0,,
2012.01.20,900,,0.5,0.2,,0,0,,
2012.01.23,450,,0.6,0.7,,0,0,,
2012.01.25,480,,0.4,0.3,,0,0,,
2012.01.27,780,,0.4,0.2,,0,0,,
2012.01.28,1020,,0.3,0.2,,0,0,,
2012.02.05,1140,,0.2,0.2,,0,0,,
2012.02.06,840,,0.3,0.4,,0,0,,
2012.02.09,540,,0.3,0.1,,0,0,,
2012.02.11,420,,0.4,0.5,,0,0,,
2012.02.15,1260,,0.5,0.4,,0,0,,
2012.02.18,480,,0.6,0.3,,0,0,,
2012.02.21,480,,0.6,0.4,,0,0,,
2012.02.22,480,,0.4,0.2,,0,0,,
2012.02.23,390,,0.7,0.5,,0,0,,
2012.02.28,690,,0.6,0.3,,0,0,,
2012.02.28,960,,0.4,0.6,,0,0,,
2012.03.02,510,,0.3,0.2,,0,0,,
2012.03.04,720,,0.4,0.6,,0,0,,
2012.03.05,630,,0.5,0.3,,0,0,,
2012.03.06,900,,0.7,0.3,,0,0,0.1,
2012.03.08,660,,0.3,0.2,,0,0,,
2012.03.09,600,,0.2,0.2,,0,0,,
2012.03.12,580,,0.2,0.1,,0,0,,
2012.03.13,560,,0.3,0.2,,0,0,,
2012.03.14,520,,0.4,0.3,,0,0,,
2012.03.15,660,,0.4,0.2,,0,0,,
2012.03.20,740,,0.3,0.2,,0,0,,
2012.03.24,900,,0.3,0.1,,0,0,,
2012.03.25,600,,0.4,0.3,,0,0,,
2012.03.26,660,,0.3,0.3,,0,0,,
2012.03.28,600,,0.4,0.2,,0,0,,
2012.03.30,900,,0.4,0.2,,0,0,,
2012.04.01,1320,,0.5,0.4,,0,0,,
2012.04.02,540,,,,,0,0,,
2012.04.04,500,,0.3,0.4,,0,0,,
2012.04.05,640,,0.4,0.3,,0,0,,
2012.04.09,720,,0.6,0.3,,0,0,,
2012.04.11,540,,0.4,0.2,,0,0,,
2012.04.12,480,,0.5,0.3,,0,0,,
2012.04.15,720,,0.5,0.6,,0,0,,
2012.04.15,900,,0.6,0.4,,0,0,,
2012.04.22,1140,,0.5,0.3,,0,0,,
2012.04.24,480,,0.3,0.2,,0,0,,
2012.04.25,360,,0.3,0.2,,0,0,,
2012.04.26,420,,0.4,0.4,,0,0,,
2012.04.29,1220,,0.5,0.3,,0,0,,
2012.05.01,390,19:30,0.4,0.3,,1,0,,
2012.05.02,600,17:40,0.5,0.5,,0,0,,
2012.05.04,780,18:38,0.4,0.3,,0,0,,
2012.05.07,420,16:00,0.3,0.2,,0,0,,
2012.05.08,360,18:05,0.2,0.2,,0,0,,
2012.05.11,1020,11:21,0.4,0.1,,1,0,,
2012.05.13,390,16:00,0.2,0.3,,1,0,,
2012.05.15,480,09:00,0.3,0.2,,0,0,,
2012.05.16,540,11:00,0.5,0.3,,0,0,,
2012.05.17,600,18:25,0.4,0.2,,0,0,,
2012.05.19,660,01:42,0.3,0.1,,0,0,,
2012.05.20,850,15:05,0.2,0.1,,1,0,,
2012.05.22,630,03:10,0.3,0.2,,0,0,,
2012.05.23,650,08:10,0.3,0.3,,0,0,,
2012.05.25,1020,02:25,0.4,0.4,,0,0,,
2012.05.29,420,04:43,0.3,0.4,,0,0,,
2012.06.01,525,,0.3,0.2,,0,0,,
2012.06.06,510,11:00,0.4,0.4,,0,0,,
2012.06.08,600,13:10,0.6,0.5,,0,0,,
2012.06.09,660,18:19,0.4,0.4,,0,0,,
2012.06.11,1217,13:39,0.5,0.5,,0,0,,
2012.06.12,420,16:36,0.4,0.6,,0,0,,
2012.06.17,720,16:28,0.4,0.2,,0,0,,
2012.06.18,480,,0.5,0.5,,0,0,,
2012.06.19,840,18:14,0.6,0.4,,0,0,,
2012.06.21,640,16:40,0.5,0.4,,0,0,,
2012.06.21,330,01:30,0.4,0.1,,0,0,,
2012.06.23,780,07:00,0.6,0.2,,0,0,,
2012.06.25,300,22:08,0.3,0.2,,0,0,,
2012.06.27,780,03:00,0.3,0.2,,0,0,,
2012.06.30,720,,0.2,0.4,,0,0,,
2012.07.01,480,,0.4,0.4,,0,0,,
2012.07.04,540,,0.4,0.3,,0,0,,
2012.07.05,600,15:39,0.4,0.2,,1,0,,
2012.07.07,720,,0.4,0.3,,0,0,,
2012.07.08,660,,0.4,0.5,,0,0,,
2012.07.13,960,,,,,0,0,,
2012.07.15,480,,,,,0,0,,
2012.07.16,720,,0.6,0.3,,1,0,,
2012.07.17,240,,0.5,0.3,,0,0,,
2012.07.18,480,,,,,0,0,,
2012.07.21,450,,0.3,0.1,,0,1,,
2012.07.26,480,,0.6,0.3,,0,0,,
2012.07.31,600,,,,,0,0,,
2012.08.02,480,,,,,0,0,,
2012.08.10,480,,0.2,0.3,0.2,0,0,,
2012.08.13,,,0.3,0.1,-0.2,0,0,,
2012.08.14,820,,0.4,0.2,0.4,0,0,,
2012.08.15,480,,0.5,0.5,0.4,0,0,,
2012.08.16,660,,0.4,0.1,0.2,1,0,,
2012.08.17,360,,0.4,0.3,0.1,0,0,,
2012.08.18,420,,0.6,0.3,-0.4,0,0,,
2012.08.22,600,,0.5,0.4,0.3,0,0,,
2012.08.24,780,,0.5,0.3,0.4,0,0,,
2012.08.25,420,,0.6,0.3,0.4,0,0,,
2012.08.27,480,,0.4,0.4,0.3,0,0,,
2012.08.30,720,,0.5,0.5,0.7,0,0,,
2012.08.31,480,,0.4,0.3,0.2,0,0,,
2012.09.02,720,,0.4,0.5,0,0,0,,
2012.09.03,720,,0.5,0.2,0.4,1,0,,
2012.09.05,840,,0.4,0.4,-0.5,0,0,,
2012.09.10,420,,0.7,0.2,0.5,0,0,,
2012.09.12,752,,0.2,0.1,-0.2,0,0,,
2012.09.13,240,,0.2,0.5,0,0,1,,
2012.09.16,480,,,,,0,0,,
2012.09.18,900,,0.3,0.4,0.3,0,0,,
2012.09.21,900,,0.4,0.7,0.2,0,0,,
2012.09.26,600,,0.3,0.2,-0.1,0,0,,
2012.09.27,480,,0.3,0.4,0.1,0,0,,
2012.09.30,720,,0.4,0.1,0,0,1,,
2012.10.03,540,,0.3,0.1,0.3,1,0,,
2012.10.05,540,,0.6,0.4,0.4,1,0,,
2012.10.06,975,,0.6,0.5,0.3,1,0,,
2012.10.08,,,0.3,0.3,0.4,0,1,,
2012.10.09,,,0.5,0.3,0.2,0,0,,
2012.10.10,,,0.4,0.4,0.4,1,0,,
2012.10.11,720,,0.3,0.4,-0.1,0,1,,
2012.10.13,720,,0.3,0.3,0.1,0,0,,
2012.10.14,420,,0.5,0.3,,0,1,,
"2013.01.03",621,"19:17:00",NA,0,NA,NA,1,NA,0.6
"2013.01.04",435,"22:49:00",NA,1,NA,NA,0,NA,NA
"2013.01.05",240,"",NA,0,NA,NA,0,NA,0.2
"2013.01.06",525,"13:25:00",NA,1,NA,NA,1,NA,NA
"2013.01.07",529,"15:00:00",NA,1,NA,NA,1,NA,0.4
"2013.01.08",468,"22:34:00",NA,0,NA,NA,0,NA,0.3
"2013.01.09",488,"1:42:00",NA,1,NA,NA,0,NA,0.1
"2013.01.10",459,"22:33:00",NA,0,NA,NA,0,NA,0.2
"2013.01.12",871,"4:55:00",NA,1,NA,NA,0,NA,0.5
"2013.01.13",585,"11:41:00",NA,0,NA,NA,0,NA,NA
"2013.01.14",664,"1:26:00",NA,0,NA,NA,0,NA,0.6
"2013.01.15",400,"7:40:00",NA,0,NA,NA,0,NA,0.4
"2013.01.16",550,"8:40:00",NA,1,NA,NA,0,NA,NA
"2013.01.17",439,"4:55:00",NA,0,NA,NA,0,NA,NA
"2013.01.18",595,"7:05:00",NA,1,NA,NA,0,NA,0.5
"2013.01.19",499,"12:00:00",NA,1,NA,NA,1,NA,0.3
"2013.01.20",491,"14:20:00",NA,0,NA,NA,0,NA,NA
"2013.01.21",635,"15:53:00",NA,0,NA,NA,0,NA,NA
"2013.01.23",774,"3:55:00",NA,0,NA,NA,0,NA,NA
"2013.01.23",376,"12:38:00",NA,1,NA,NA,0,NA,NA
"2013.01.24",223,"13:07:00",NA,0,NA,NA,0,NA,NA
"2013.01.25",861,"13:23:00",NA,1,NA,NA,0,NA,NA
"2013.01.26",450,"15:03:00",NA,0,NA,NA,1,NA,NA
"2013.01.27",752,"11:53:00",NA,1,NA,NA,0,NA,NA
"2013.01.28",446,"14:37:00",NA,1,NA,NA,1,NA,NA
"2013.01.29",444,"16:03:00",NA,0,NA,NA,0,NA,NA
"2013.01.30",581,"6:52:00",NA,1,NA,NA,0,NA,NA
"2013.02.01",514,"12:52:00",NA,0,NA,NA,1,NA,NA
"2013.02.02",481,"13:05:00",NA,0,NA,NA,1,NA,0.7
"2013.02.03",688,"19:11:00",NA,1,NA,NA,0,NA,NA
"2013.02.04",752,"15:59:00",NA,1,NA,NA,0,NA,NA
"2013.02.05",478,"14:40:00",NA,1,NA,NA,0,NA,NA
"2013.02.06",534,"17:42:00",NA,0,NA,NA,0,NA,NA
"2013.02.07",426,"16:52:00",NA,0,NA,NA,0,NA,NA
"2013.02.08",614,"15:01:00",NA,0,NA,NA,0,NA,0.4
"2013.02.09",579,"17:20:00",NA,1,NA,NA,1,NA,0.4
"2013.02.10",527,"20:30:00",NA,0,NA,NA,0,NA,NA
"2013.02.11",721,"19:04:00",NA,1,NA,NA,0,NA,0.5
"2013.02.13",554,"3:00:00",NA,1,NA,NA,1,NA,NA
"2013.02.14",951,"19:17:00",NA,1,NA,NA,0,NA,NA
"2013.02.16",708,"4:38:00",NA,1,NA,NA,0,NA,0.6
"2013.02.17",761,"15:47:00",NA,1,NA,NA,1,NA,NA
"2013.02.18",441,"17:53:00",NA,0,NA,NA,1,NA,NA
"2013.02.19",783,"16:56:00",NA,1,NA,NA,0,NA,NA
"2013.02.21",624,"0:52:00",NA,1,NA,NA,0,NA,NA
"2013.02.22",737,"9:40:00",NA,1,NA,NA,0,NA,NA
"2013.02.24",1020,"0:46:00",NA,1,NA,NA,0,NA,NA
"2013.02.25",450,"4:28:00",NA,0,NA,NA,1,NA,NA
"2013.02.26",886,"6:55:00",NA,0,NA,NA,0,NA,NA
"2013.02.27",507,"11:02:00",NA,1,NA,NA,1,NA,NA
"2013.02.28",330,"7:46:00",NA,0,NA,NA,0,NA,NA
"2013.03.01",876,"9:43:00",NA,0,NA,NA,0,NA,NA
"2013.03.03",1059,"1:30:00",NA,0,NA,NA,0,NA,NA
"2013.03.04",604,"10:02:00",NA,0,NA,NA,1,NA,NA
"2013.03.05",427,"12:36:00",NA,0,NA,NA,0,NA,NA
"2013.03.06",508,"11:22:00",NA,1,NA,NA,0,NA,NA
"2013.03.07",463,"10:25:00",NA,1,NA,NA,1,NA,NA
"2013.03.08",533,"12:40:00",NA,0,NA,NA,0,NA,NA
"2013.03.09",612,"13:23:00",NA,1,NA,NA,0,NA,NA
"2013.03.10",497,"13:54:00",NA,1,NA,NA,0,NA,NA
"2013.03.11",394,"15:27:00",NA,0,NA,NA,0,NA,NA
"2013.03.12",611,"14:54:00",NA,1,NA,NA,1,NA,NA
"2013.03.13",630,"17:48:00",NA,0,NA,NA,0,NA,NA
"2013.03.15",1137,"14:21:00",NA,1,NA,NA,0,NA,NA
"2013.03.16",714,"14:03:00",NA,1,NA,NA,0,NA,NA
"2013.03.17",494,"17:36:00",NA,0,NA,NA,1,NA,NA
"2013.03.18",788,"14:51:00",NA,0,NA,NA,0,NA,NA
"2013.03.19",445,"16:05:00",NA,1,NA,NA,1,NA,NA
"2013.03.20",395,"16:20:00",NA,1,NA,NA,0,NA,NA
