LLLT,Choice Reaction Time,Visual Matching,Sorting,Finger Tapping
1,543,565,596,555
1,585,579,611,597
1,582,582,619,566
1,565,587,618,568
1,581,582,618,571
1,568,578,614,575
1,565,591,632,560
1,588,600,622,560
1,575,595,615,592
1,580,597,635,583
0,568,555,613,542
0,508,587,610,545
0,531,596,602,542
0,536,570,604,547
0,526,583,609,537
0,541,594,616,562
0,506,585,609,507
0,525,583,622,504
0,549,583,596,549
0,560,586,606,519
0,562,560,601,542
0,543,583,610,538
0,553,593,619,563
0,537,554,593,532
0,573,578,605,520
0,533,589,615,545
0,562,584,603,541
0,565,583,607,549
0,543,578,592,523
0,568,591,601,541
1,573,578,610,573
1,583,583,613,584
1,588,588,622,588
1,593,593,634,580
1,584,584,624,597
1,599,600,645,601
1,604,606,640,598
1,609,601,638,604
1,605,612,643,610
1,603,607,645,608
