"Sleep.Date","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Morning.Feel","MP","Disturbance"
2012-02-16,96,571,3,42,151,357,63,10,3,"1",0.28411005360309
2012-02-17,89,573,18,42,155,371,47,17,3,"3",3.65296780990702
2012-02-18,77,476,51,73,128,298,50,9,3,"4",5.05304568560597
2012-02-19,78,477,25,48,132,286,60,14,2,"4",3.4898329716837
2012-02-20,79,476,30,75,162,259,56,12,2,"4",4.65742206225762
2012-02-21,94,542,29,41,184,293,66,13,3,"4",3.0636694969384
2012-02-23,112,591,2,7,172,331,88,3,3,"4",-3.99651232936862
2012-02-24,98,555,2,28,144,337,74,8,2,"2",-1.20751839989586
2012-02-25,91,507,41,33,179,263,66,8,3,"3",1.83510720788835
2012-02-26,115,630,2,16,181,370,79,5,4,"4",-2.84823646672975
2012-02-27,100,571,21,22,178,324,70,12,4,"4",1.13153819985332
2012-02-28,99,564,52,23,184,332,49,5,3,"2",1.08468528211944
2012-02-29,88,545,2,66,167,330,48,11,3,"3",1.84925893709453
2012-03-01,81,448,1,33,165,224,60,8,2,"2",-1.00623280992652
2012-03-03,135,689,8,2,196,375,118,3,4,"3",-3.8426304171111
2012-03-04,105,562,17,20,182,298,83,7,3,"2",-0.906777187825019
2012-03-05,86,505,57,54,138,301,66,10,2,"3",4.77348489464848
2012-03-06,89,521,33,39,168,296,57,11,3,"2",2.58077436266161
2012-03-07,92,539,15,27,167,324,49,9,3,"3",-0.00949596224277868
2012-03-08,94,541,20,49,174,298,69,10,4,"4",1.87292628775501
2012-03-09,91,507,33,16,147,298,62,5,3,"3",-0.646197952923225
2012-03-10,115,633,18,20,227,336,71,8,4,"2",-0.506692937433454
2012-03-11,94,567,48,55,130,362,76,13,3,"3",5.17579945856166
2012-03-12,93,564,22,35,170,347,47,11,3,"2",1.58155058543075
2012-03-14,89,486,53,12,133,281,73,6,2,"1",0.885667533598635
2012-03-15,95,525,52,17,180,281,65,8,2,"2",1.74505462346036
2012-03-16,95,531,36,16,178,295,58,7,3,"4",0.225004048305277
2012-03-17,84,493,18,34,157,274,63,13,3,"3",1.90105426545871
2012-03-18,80,455,21,9,137,271,48,6,3,"3",-1.55079593490209
2012-03-19,103,571,10,17,185,313,73,9,4,"3",-0.909301645299063
2012-03-20,91,500,23,11,150,284,66,6,4,"3",-1.29980129784546
2012-03-21,25,104,16,0,8,49,47,0,3,"3",-4.37044229955259
2012-03-22,90,482,31,20,161,251,70,6,1,"3",-0.241358931536006
2012-03-23,102,518,28,4,165,263,90,4,3,"3",-1.98398202209159
2012-03-24,93,506,25,18,168,271,67,6,3,"2",-0.776487570374122
2012-03-25,84,458,22,7,123,263,73,8,2,"3",-0.930588570730219
2012-03-26,109,586,14,16,226,282,78,9,4,"4",-0.679631461600518
2012-03-27,101,536,14,8,163,289,84,6,3,"3",-2.10249425610264
2012-03-28,96,512,31,12,173,268,72,5,3,"3",-1.00612022614574
2012-03-29,92,509,19,18,166,284,59,5,3,"4",-1.53173932299255
2012-03-30,91,510,15,36,151,283,76,10,2,"4",0.809729150449897
2012-03-31,102,535,17,7,161,294,81,3,3,"4",-2.93100982268805
2012-04-01,71,398,28,6,85,262,52,4,2,"4",-1.8750543859257
2012-04-02,97,541,19,40,175,290,77,10,4,"2",1.31171842456316
